invoice_no,stock_code,description,quantity,invoice_date,unit_price,customer_id,country
INV-100050,SKU-1002,USB-C Cable,4,2024-01-30T22:29:00,241.67,CUST-22622,United States
INV-100037,SKU-1004,Mechanical Keyboard,6,2024-12-19T21:56:00,87.46,CUST-94353,United Kingdom
INV-100038,SKU-1003,Laptop Stand,6,2024-04-26T08:21:00,94.84,CUST-16468,Canada
INV-100038,SKU-1002,USB-C Cable,1,2024-04-01T16:31:00,231.72,CUST-90047,United Kingdom
INV-100038,SKU-1004,Mechanical Keyboard,2,2024-12-14T02:09:00,238.34,CUST-18639,United Kingdom
INV-100051,SKU-1004,Mechanical Keyboard,2,2024-01-17T02:14:00,103.03,CUST-18573,United Kingdom
INV-100156,SKU-1008,Bluetooth Speaker,5,2024-01-20T14:56:00,190.03,CUST-60097,Australia
INV-100078,SKU-1005,Noise Cancelling Headphones,4,2024-08-08T16:43:00,119.66,CUST-10110,Germany
INV-100052,SKU-1006,Smart Watch,3,2024-11-04T17:16:00,26.52,CUST-97049,France
INV-100159,SKU-1001,Wireless Mouse,1,2024-01-09T14:40:00,238.97,CUST-28005,Germany
INV-100040,SKU-1005,Noise Cancelling Headphones,7,2024-02-28T17:01:00,21.69,CUST-79147,Germany
INV-100040,SKU-1007,Desk Lamp,5,2024-10-10T07:26:00,29.28,CUST-33536,United Kingdom
INV-100054,SKU-1004,Mechanical Keyboard,4,2024-08-14T17:37:00,211.06,CUST-17996,Canada
INV-100054,SKU-1005,Noise Cancelling Headphones,4,2024-09-14T15:29:00,99.06,CUST-31251,France
INV-100082,SKU-1005,Noise Cancelling Headphones,3,2024-02-17T19:46:00,105.87,CUST-38209,Spain
INV-100041,SKU-1007,Desk Lamp,4,2024-05-30T00:55:00,109.49,CUST-15626,Australia
INV-100083,SKU-1003,Laptop Stand,5,2024-09-06T23:47:00,180.4,CUST-80923,Australia
INV-100167,SKU-1002,USB-C Cable,3,2024-05-28T23:48:00,57.7,CUST-76935,Spain
INV-100168,SKU-1007,Desk Lamp,6,2024-04-11T01:19:00,105.68,CUST-68504,Australia
INV-100084,SKU-1004,Mechanical Keyboard,3,2024-05-01T08:19:00,169.32,CUST-64602,United States
INV-100170,SKU-1007,Desk Lamp,8,2024-10-08T19:46:00,112.36,CUST-58642,Spain
INV-100171,SKU-1001,Wireless Mouse,7,2024-01-23T05:23:00,19.58,CUST-23131,United States
INV-100057,SKU-1007,Desk Lamp,7,2024-10-25T22:56:00,77.96,CUST-80145,France
INV-100173,SKU-1004,Mechanical Keyboard,3,2024-11-29T04:28:00,58.95,CUST-61631,France
INV-100058,SKU-1007,Desk Lamp,8,2024-03-09T10:26:00,21.01,CUST-26180,Spain
INV-100175,SKU-1007,Desk Lamp,4,2024-07-06T07:02:00,148.75,CUST-58248,Spain
INV-100176,SKU-1002,USB-C Cable,7,2024-05-10T02:41:00,44.29,CUST-92382,United Kingdom
INV-100044,SKU-1001,Wireless Mouse,7,2024-03-18T14:24:00,197.31,CUST-32159,Spain
INV-100059,SKU-1004,Mechanical Keyboard,7,2024-07-23T17:54:00,11.61,CUST-68477,United States
INV-100044,SKU-1008,Bluetooth Speaker,5,2024-01-08T19:31:00,236.66,CUST-48809,United Kingdom
INV-100045,SKU-1007,Desk Lamp,2,2024-01-04T06:09:00,6.98,CUST-14240,Germany
INV-100090,SKU-1008,Bluetooth Speaker,3,2024-07-23T07:04:00,172.84,CUST-18052,Canada
INV-100182,SKU-1004,Mechanical Keyboard,2,2024-02-25T18:37:00,190.17,CUST-38417,France
INV-100091,SKU-1004,Mechanical Keyboard,1,2024-01-15T03:08:00,233.95,CUST-53043,United Kingdom
INV-100061,SKU-1007,Desk Lamp,1,2024-06-07T17:56:00,111.74,CUST-98180,France
INV-100046,SKU-1005,Noise Cancelling Headphones,6,2024-03-13T17:17:00,18.78,CUST-65182,United States
INV-100046,SKU-1006,Smart Watch,6,2024-07-26T19:52:00,61.6,CUST-31290,Canada
INV-100062,SKU-1002,USB-C Cable,3,2024-03-28T22:03:00,103.41,CUST-55359,Germany
INV-100094,SKU-1001,Wireless Mouse,8,2024-06-09T21:59:00,191.98,CUST-37073,United States
INV-100063,SKU-1006,Smart Watch,5,2024-11-08T15:37:00,108.23,CUST-87278,Germany
INV-100047,SKU-1004,Mechanical Keyboard,6,2024-03-18T12:53:00,77.47,CUST-36536,Spain
INV-100191,SKU-1007,Desk Lamp,4,2024-02-23T21:08:00,146.55,CUST-35159,Canada
INV-100048,SKU-1005,Noise Cancelling Headphones,2,2024-02-12T02:51:00,18.51,CUST-44870,France
INV-100193,SKU-1001,Wireless Mouse,2,2024-09-06T20:43:00,100.26,CUST-44645,Germany
INV-100097,SKU-1001,Wireless Mouse,7,2024-10-06T16:06:00,172.38,CUST-36438,United States
INV-100097,SKU-1006,Smart Watch,6,2024-10-09T16:05:00,59.14,CUST-24513,Australia
INV-100098,SKU-1004,Mechanical Keyboard,4,2024-09-13T03:22:00,93.63,CUST-54727,United States
INV-100065,SKU-1002,USB-C Cable,5,2024-01-06T00:53:00,200.11,CUST-85263,United Kingdom
INV-100099,SKU-1004,Mechanical Keyboard,4,2024-08-26T12:33:00,212.65,CUST-89298,United Kingdom
INV-100199,SKU-1006,Smart Watch,5,2024-09-27T02:27:00,88.03,CUST-72945,Spain
INV-100200,SKU-1004,Mechanical Keyboard,2,2024-10-12T04:46:00,8.7,CUST-86655,Spain
INV-100201,SKU-1001,Wireless Mouse,5,2024-04-08T08:41:00,46.06,CUST-50663,Spain
INV-100067,SKU-1001,Wireless Mouse,1,2024-01-27T21:39:00,110.4,CUST-99232,United Kingdom
INV-100203,SKU-1008,Bluetooth Speaker,8,2024-02-03T06:56:00,5.69,CUST-87179,United Kingdom
INV-100102,SKU-1005,Noise Cancelling Headphones,3,2024-03-31T09:51:00,36.73,CUST-98915,Australia
INV-100102,SKU-1006,Smart Watch,4,2024-12-26T16:10:00,161.68,CUST-24484,Spain
INV-100206,SKU-1004,Mechanical Keyboard,3,2024-02-18T00:12:00,158.87,CUST-77043,France
INV-100069,SKU-1003,Laptop Stand,8,2024-05-03T13:25:00,50.99,CUST-32714,United States
INV-100208,SKU-1004,Mechanical Keyboard,3,2024-08-16T04:19:00,163.45,CUST-23062,Spain
INV-100052,SKU-1007,Desk Lamp,1,2024-01-08T10:48:00,5.73,CUST-35398,Germany
INV-100105,SKU-1006,Smart Watch,8,2024-09-20T18:06:00,141.8,CUST-85916,United States
INV-100105,SKU-1008,Bluetooth Speaker,1,2024-11-24T11:50:00,18.74,CUST-95813,United States
INV-100212,SKU-1005,Noise Cancelling Headphones,5,2024-11-02T13:08:00,16.07,CUST-88849,France
INV-100213,SKU-1008,Bluetooth Speaker,3,2024-03-16T17:56:00,94.24,CUST-78966,Australia
INV-100107,SKU-1006,Smart Watch,1,2024-07-18T08:48:00,80.67,CUST-31238,Canada
INV-100053,SKU-1005,Noise Cancelling Headphones,7,2024-09-20T21:42:00,63.36,CUST-27701,Germany
INV-100054,SKU-1003,Laptop Stand,1,2024-11-06T11:22:00,82.25,CUST-95516,United Kingdom
INV-100054,SKU-1008,Bluetooth Speaker,7,2024-01-20T03:23:00,51.48,CUST-11007,United Kingdom
INV-100109,SKU-1002,USB-C Cable,6,2024-03-03T12:51:00,4.53,CUST-91618,Australia
INV-100219,SKU-1003,Laptop Stand,5,2024-12-24T00:57:00,236.82,CUST-84376,United States
INV-100055,SKU-1005,Noise Cancelling Headphones,1,2024-12-22T12:14:00,55.43,CUST-40269,France
INV-100073,SKU-1006,Smart Watch,1,2024-09-27T16:28:00,50.78,CUST-87258,United Kingdom
INV-100111,SKU-1004,Mechanical Keyboard,5,2024-04-03T05:41:00,238.4,CUST-39419,Germany
INV-100111,SKU-1005,Noise Cancelling Headphones,5,2024-05-21T23:13:00,67.29,CUST-28330,France
INV-100056,SKU-1005,Noise Cancelling Headphones,7,2024-11-29T20:11:00,139.25,CUST-46909,Australia
INV-100075,SKU-1005,Noise Cancelling Headphones,4,2024-07-26T03:39:00,120.49,CUST-81026,Spain
INV-100113,SKU-1003,Laptop Stand,3,2024-07-25T17:26:00,142.17,CUST-72517,Australia
INV-100075,SKU-1001,Wireless Mouse,4,2024-07-24T11:59:00,213.46,CUST-80846,Spain
INV-100228,SKU-1002,USB-C Cable,4,2024-12-30T02:57:00,107.3,CUST-15869,Canada
INV-100057,SKU-1004,Mechanical Keyboard,6,2024-10-13T15:38:00,37.22,CUST-39114,France
INV-100230,SKU-1003,Laptop Stand,2,2024-04-29T20:20:00,79.21,CUST-87158,United States
INV-100115,SKU-1004,Mechanical Keyboard,2,2024-08-09T04:41:00,247.79,CUST-92618,Australia
INV-100058,SKU-1008,Bluetooth Speaker,6,2024-01-19T09:02:00,20.01,CUST-65157,United Kingdom
INV-100233,SKU-1006,Smart Watch,4,2024-02-16T13:04:00,185.27,CUST-46017,Spain
INV-100117,SKU-1005,Noise Cancelling Headphones,6,2024-08-27T14:02:00,218.11,CUST-50963,Germany
INV-100117,SKU-1004,Mechanical Keyboard,7,2024-04-24T02:59:00,230.72,CUST-96449,United States
INV-100059,SKU-1003,Laptop Stand,3,2024-12-24T12:00:00,23.11,CUST-41099,Germany
INV-100118,SKU-1003,Laptop Stand,6,2024-11-17T23:52:00,161.74,CUST-12123,United States
INV-100079,SKU-1003,Laptop Stand,6,2024-01-23T17:43:00,34.69,CUST-96185,Canada
INV-100079,SKU-1008,Bluetooth Speaker,3,2024-02-17T13:09:00,164.88,CUST-21035,United Kingdom
INV-100060,SKU-1002,USB-C Cable,6,2024-10-30T02:24:00,74.27,CUST-23811,United Kingdom
INV-100080,SKU-1002,USB-C Cable,8,2024-06-16T17:29:00,53.64,CUST-86438,Spain
INV-100242,SKU-1003,Laptop Stand,3,2024-03-27T09:15:00,51.64,CUST-56297,Canada
INV-100081,SKU-1004,Mechanical Keyboard,3,2024-01-05T02:25:00,153.42,CUST-75534,United States
INV-100061,SKU-1004,Mechanical Keyboard,6,2024-03-13T08:49:00,33.84,CUST-64058,Spain
INV-100245,SKU-1007,Desk Lamp,3,2024-02-21T16:48:00,81.94,CUST-34890,United Kingdom
INV-100123,SKU-1008,Bluetooth Speaker,1,2024-05-01T16:47:00,160.14,CUST-30453,United States
INV-100247,SKU-1002,USB-C Cable,8,2024-04-23T08:08:00,102.49,CUST-70395,United States
INV-100082,SKU-1007,Desk Lamp,2,2024-09-27T14:00:00,21.86,CUST-19417,United Kingdom
INV-100083,SKU-1001,Wireless Mouse,2,2024-06-22T06:32:00,166.72,CUST-43129,Spain
INV-100083,SKU-1008,Bluetooth Speaker,2,2024-02-16T13:40:00,172.99,CUST-78893,Canada
INV-100083,SKU-1002,USB-C Cable,5,2024-06-18T14:15:00,48.17,CUST-44162,Germany
INV-100126,SKU-1001,Wireless Mouse,8,2024-07-13T15:00:00,155.92,CUST-60520,Spain
INV-100063,SKU-1005,Noise Cancelling Headphones,3,2024-10-20T06:50:00,96.11,CUST-45493,United Kingdom
INV-100084,SKU-1008,Bluetooth Speaker,8,2024-02-03T09:02:00,61.48,CUST-32888,Germany
INV-100063,SKU-1002,USB-C Cable,6,2024-09-20T13:18:00,36.55,CUST-29126,Canada
INV-100064,SKU-1005,Noise Cancelling Headphones,3,2024-05-07T04:06:00,87.65,CUST-43739,United States
INV-100064,SKU-1007,Desk Lamp,3,2024-06-10T16:03:00,115.38,CUST-29205,France
INV-100129,SKU-1007,Desk Lamp,5,2024-02-27T13:53:00,21.48,CUST-71670,United States
INV-100129,SKU-1001,Wireless Mouse,4,2024-05-12T15:31:00,66.27,CUST-75101,Canada
INV-100260,SKU-1006,Smart Watch,7,2024-05-16T16:23:00,245.89,CUST-31907,United States
INV-100130,SKU-1006,Smart Watch,6,2024-05-10T02:31:00,130.43,CUST-58462,Spain
INV-100065,SKU-1005,Noise Cancelling Headphones,6,2024-07-05T18:32:00,58.21,CUST-87061,United States
